category_id,name,slug,description,price,stock_quantity,weight_grams,image_url,is_active,average_rating,benefit,composition,directions,storage_instructions,manufacturer,marketing_location,production_location,regency,licensing,licensing_number
1,jamu penyubur kandungan,,Khasiat: Berfungsi untuk menyuburkan kandungan | Aturan Pakai: Diminum Sehari 3 Kali sebanyak 3 pil | Jenis: pil,34200,100,100,,1,4.5,Berfungsi untuk menyuburkan kandungan,"Kunyit (Curcuma domestica), Temu Gunung (Curcuma heyneana), Sentok (Cinnamomum sintoc), dan Temulawak (Curcuma xanthorrhiza).",Diminum Sehari 3 Kali sebanyak 3 pil,Simpan ditempat yang kering dan sejuk,Madura Sari,Jl Pahlawan 21 Sampang,Jl Pahlawan 21 Sampang,Sampang,"KEMENKES, BPOM","068/IKOT/JATIM/1997, TR003204501"
1,minyak bulus,,"Khasiat: mengencangkan wajah dan buah dada yang kendor, mengatasi bekas jerawat serta flek hitam, mengobati luka bakar, memudarkan bekas luka, stretchmark, dan bekas cacar air, hingga mengencangkan alat vital agar lebih tahan lama. | Aturan Pakai: Oleskan minyak bulus secukupnya pada area yang diinginkan. Diamkan selama 15-30 menit kemudian bilas dengan air hangat hingga bersih. | Jenis: cair",60000,100,100,,1,3.5,"mengencangkan wajah dan buah dada yang kendor, mengatasi bekas jerawat serta flek hitam, mengobati luka bakar, memudarkan bekas luka, stretchmark, dan bekas cacar air, hingga mengencangkan alat vital agar lebih tahan lama.",Ekstrak Minyak Bulus,Oleskan minyak bulus secukupnya pada area yang diinginkan. Diamkan selama 15-30 menit kemudian bilas dengan air hangat hingga bersih.,Simpan ditempat yang kering dan sejuk,Madura Sari,Jl Pahlawan 21 Sampang,Jl Pahlawan 21 Sampang,Sampang,KEMENKES,
1,lulur rempah,,"Khasiat: Produk ini bekerja secara intensif untuk meluruhkan sel kulit mati agar tekstur kulit kembali halus dan bening, sementara perpaduan rempahnya memberikan nutrisi mendalam yang menjaga kelembapan alami kulit sehingga tampak lebih sehat, bersih, dan memancarkan kilau bercahaya. | Aturan Pakai: Gosokkan pada area badan sebelum mandi, pada saat mandi jangan menggunakan sabun | Jenis: serbuk",25000,100,100,,1,4.1,"Produk ini bekerja secara intensif untuk meluruhkan sel kulit mati agar tekstur kulit kembali halus dan bening, sementara perpaduan rempahnya memberikan nutrisi mendalam yang menjaga kelembapan alami kulit sehingga tampak lebih sehat, bersih, dan memancarkan kilau bercahaya.","Pandiyan (Parameria laevigata), Meniran (Phyllanthus niruri), dan Kulit Jeruk Purut (Citrus hystrix).","Gosokkan pada area badan sebelum mandi, pada saat mandi jangan menggunakan sabun",Simpan ditempat yang kering dan sejuk,Madura Sari,Jl Pahlawan 21 Sampang,Jl Pahlawan 21 Sampang,Sampang,,
1,Bedak Dingin,,"Khasiat: mencerahkan wajah, memudarkan bekas jerawat dan mengecilkan pori | Aturan Pakai: Ratakan pada seluruh wajah dan diamkan selamat 15 menit lalu dibilas menggunakan air hangat | Jenis: Sabun",25000,100,100,,1,4.3,"mencerahkan wajah, memudarkan bekas jerawat dan mengecilkan pori","Bengkoang (Pachyrhizus erosus), Tepung Beras",Ratakan pada seluruh wajah dan diamkan selamat 15 menit lalu dibilas menggunakan air hangat,Simpan ditempat yang kering dan sejuk,Madura Sari,Jl Pahlawan 21 Sampang,Jl Pahlawan 21 Sampang,Sampang,,
1,Pegal Linu Kaspul Pusaka Madura,,Khasiat: Membantu meredakan pegal linu dan nyeri sendi | Aturan Pakai: Diminum Sehari 2 Kali sebanyak 2 pil | Jenis: pil,32800,100,100,,1,4.8,Membantu meredakan pegal linu dan nyeri sendi,"Lada Hitam (Piperis nigri fructus) 240 mg, Pala (Myristicae Semen) 160 mg, Jahe (Zingiberis Rhizoma) 160 mg, Kedawung (Parkiae Semen) 120 mg, dan Kapulaga (Amomi Fructus) 120 mg.",Diminum Sehari 2 Kali sebanyak 2 pil,Simpan ditempat yang kering dan sejuk,PJ. Pusaka Ibu Madura,Jl Pahlawan 21 Sampang,Jl Pahlawan 21 Sampang,Sampang,BPOM,TR105320851
1,Jamu pelancar darah,,"Khasiat: mengatasi alergi secara aman tanpa efek samping, mengobati penyakit kulit seperti eksim, bisul, dan gatal-gatal, serta efektif menghilangkan jerawat membandel langsung dari dalam tubuh. | Aturan Pakai: Diminum Sehari 3 Kali Sebanyak 3 Pil, dengan catatan jika memiliki gangguan lambung diminum sebelum makan, jika tidak memiliki gangguan lambung minum setelah makan | Jenis: pil",35000,100,100,,1,4.9,"mengatasi alergi secara aman tanpa efek samping, mengobati penyakit kulit seperti eksim, bisul, dan gatal-gatal, serta efektif menghilangkan jerawat membandel langsung dari dalam tubuh.","Sambiloto (Andrographis paniculata), Daun Bawang (Allium fistulosum), dan Bawang Putih (Allium sativum).","Diminum Sehari 3 Kali Sebanyak 3 Pil, dengan catatan jika memiliki gangguan lambung diminum sebelum makan, jika tidak memiliki gangguan lambung minum setelah makan",Simpan ditempat yang kering dan sejuk,Madura Sari,Jl Pahlawan 21 Sampang,Jl Pahlawan 21 Sampang,Sampang,,
1,Paket Jamu Khusus Suami Istri,,"Khasiat: mengharmoniskan hubungan suami istri, mengatasi keluhan kewanitaan dan meningkatkan stamina pria supaya makin prima dan tahan lama | Aturan Pakai: Gunakan sesuai dengan prosedur masing masing jamu | Jenis: Serbuk dan pil",300000,100,100,,1,3.0,"mengharmoniskan hubungan suami istri, mengatasi keluhan kewanitaan dan meningkatkan stamina pria supaya makin prima dan tahan lama","Paket ini terdiri dari Jamu: Galian Rapet Wangi, Empo Legit, Butiran Delima, Tongkat Madura, Sehat Lelaki, Ma'jun Super, dan Aktivitas.",Gunakan sesuai dengan prosedur masing masing jamu,Simpan sesuai dengan petunjuk pada masing masing jamu,Madura Sari,Jl Pahlawan 21 Sampang,Jl Pahlawan 21 Sampang,Sampang,,
1,Jamu Tradiotanal Madura Special Khusus,,"Khasiat: untuk mengatasi amandel, tumor, tekanan darah tinggi, kencing manis, asma, ginjal, kencing batu, reumatik, lever, alergi, maag, lemah jantung, eksim, kurang darah, hingga lemah syahwat. | Aturan Pakai: Diminum Sehari 1 Kali pada malam hari untuk dewasa 1 Sendok makan dicampur dengan setengah gelas air hangan, untuk anak-anak 1 sendok teh dicampur dengan setengah gelas air hangat, dilarang meminumnya bersamaan dengan alkohol dan air kelapa | Jenis: Serbuk",43000,100,100,,1,4.4,"untuk mengatasi amandel, tumor, tekanan darah tinggi, kencing manis, asma, ginjal, kencing batu, reumatik, lever, alergi, maag, lemah jantung, eksim, kurang darah, hingga lemah syahwat.",Terdiri dari 100% Herbal Bebas bahan kimia dan pengawet,"Diminum Sehari 1 Kali pada malam hari untuk dewasa 1 Sendok makan dicampur dengan setengah gelas air hangan, untuk anak-anak 1 sendok teh dicampur dengan setengah gelas air hangat, dilarang meminumnya bersamaan dengan alkohol dan air kelapa",,Jamu Tradisional Madura,Burneh ,Burneh,Bangkalan,,
1,Jamu Mpot Hitam,,"Khasiat: Merapatkan, mengesatkan, serta mengharumkan vagina, melancarkan dan menormalkan siklus haid tanpa rasa nyeri, menyembuhkan kista, miom, kutil kelamin, hingga mengatasi penyempitan tuba falopi. Selain itu, formulanya efektif membersihkan kotoran yang menghalangi pembuahan, sangat baik untuk program hamil (Promil) karena menyuburkan rahim serta mengandung AA dan DHA untuk janin, aman bagi ibu hamil dan menyusui, mampu meningkatkan libido serta imun tubuh, menormalkan hormon estrogen, aman bagi penderita maag, hingga membuat dinding vagina menjadi kencang, berdenyut, dan memiliki energi tambahan agar mampu bertahan lama saat berhubungan intim. | Aturan Pakai: Diminum sehari 2 kali sebayak 5 pil 3 jam sebelum berhubungan badan | Jenis: Pil",14800,100,100,,1,4.0,"Merapatkan, mengesatkan, serta mengharumkan vagina, melancarkan dan menormalkan siklus haid tanpa rasa nyeri, menyembuhkan kista, miom, kutil kelamin, hingga mengatasi penyempitan tuba falopi. Selain itu, formulanya efektif membersihkan kotoran yang menghalangi pembuahan, sangat baik untuk program hamil (Promil) karena menyuburkan rahim serta mengandung AA dan DHA untuk janin, aman bagi ibu hamil dan menyusui, mampu meningkatkan libido serta imun tubuh, menormalkan hormon estrogen, aman bagi penderita maag, hingga membuat dinding vagina menjadi kencang, berdenyut, dan memiliki energi tambahan agar mampu bertahan lama saat berhubungan intim.",Terbuat dari Tanaman Laut asli yamg dibersihkan dan dikeringkan dibawah sinar matahari,Diminum sehari 2 kali sebayak 5 pil 3 jam sebelum berhubungan badan,Simpan di tempat yang sejuk dan kering,Jamu Intan,Bangkalan,Jl. Ki Lemur Duwur,Bangkalan,,
1,Empot-empot Super,,"Khasiat: mengencangkan kembali otot-otot kewanitaan, mengurangi lendir berlebihan agar lebih kesat, memberikan kepuasan dalam hubungan suami istri, serta menjaga kesehatan wanita agar tetap awet muda. | Aturan Pakai: Diminum Sehari 3 kali sebanyak 5 pil dapat dikurangi sesuai kebutuhan | Jenis: pil",65000,100,100,,1,3.5,"mengencangkan kembali otot-otot kewanitaan, mengurangi lendir berlebihan agar lebih kesat, memberikan kepuasan dalam hubungan suami istri, serta menjaga kesehatan wanita agar tetap awet muda.","Delima Putih (Punica granatum) 20%, Pranajiwa (Euchresta horsfieldii) 15%, Manjakani (Quercus lusitanica) 20%, Dong Quai (Ligusticum acutilobum) 15%, Kayu Rapat (Parameria laevigata) 10%, dan bahan-bahan lainnya hingga 20%.",Diminum Sehari 3 kali sebanyak 5 pil dapat dikurangi sesuai kebutuhan,Simpan di tempat yang sejuk dan kering,Harum Ayu,madura dan sekitarnya,Bancaran,Bangkalan,PIRT,P - IRT 4103515142186-29
